County Number,District Number,District Name,District Type,School Number,School Name,Instruction Type,Charter Type,School Site Street Address,School Site City,School Site Zip,NCES School ID,Grade Range,School Enrollment as of Oct 2025,School Status,Update Date
'043,'043910,PLANO ISD,INDEPENDENT,'043910052,FRANKFORD MIDDLE,REGULAR INSTRUCTIONAL,,7706 OSAGE PLAZA PKWY,DALLAS,75252-6824,'483510007834,'06-08,734,Active,6/11/2026 5:38:16 AM
'043,'043910,PLANO ISD,INDEPENDENT,'043910126,MITCHELL EL,REGULAR INSTRUCTIONAL,,4223 BRIARGROVE LN,DALLAS,75287-6604,'483510000434,'PK-05,707,Active,6/11/2026 5:38:16 AM
'043,'043910,PLANO ISD,INDEPENDENT,'043910130,HAGGAR EL,REGULAR INSTRUCTIONAL,,17820 CAMPBELL RD,DALLAS,75252-5344,'483510016955,'PK-05,480,Active,6/11/2026 5:38:16 AM
'057,'057802,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,CHARTER,'057802001,PEGASUS CHARTER H S,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,1222 COMMERCE ST STE 100,DALLAS,75202,'480002907561,'KG-12,277,Active,6/11/2026 5:38:16 AM
'057,'057803,UPLIFT EDUCATION,CHARTER,'057803004,UPLIFT WILLIAMS PREP H S,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,1750 VICEROY DR,DALLAS,75235,'480003012012,'09-12,528,Active,6/11/2026 5:38:16 AM
